timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675976175547,1050,https://w3schools.com/-3,200,OK,ResDownload-Thread-6,bin,true,,60886,530,0,0,https://www.w3schools.com:443/howto/img_mountains_wide.jpg,101,0,0
1675976175554,522,https://w3schools.com/-18,200,OK,Thread Group 1-1,text,true,,70634,520,1,1,https://www.w3schools.com:443/lib/uic.js?v=1.0.5,252,0,0
1675976175742,728,https://w3schools.com/-19,200,OK,Thread Group 1-1,text,true,,32009,520,1,1,https://www.w3schools.com:443/lib/w3codecolor.js,653,0,0
1675976188938,699,https://www.w3schools.com/html/default.asp,200,OK,Thread Group 1-1,text,true,,527780,6874,1,1,https://www.w3schools.com/html/default.asp,198,0,134
1675976188938,259,https://www.w3schools.com/html/default.asp-0,200,OK,Thread Group 1-1,text,true,,102147,514,1,1,https://www.w3schools.com/html/default.asp,198,0,134
1675976189223,60,https://www.w3schools.com/html/default.asp-1,200,OK,Thread Group 1-1,bin,true,,15889,509,1,1,https://www.w3schools.com/favicon.ico,59,0,0
1675976189223,262,https://www.w3schools.com/html/default.asp-2,200,OK,Thread Group 1-1,text,true,,64084,517,1,1,https://www.w3schools.com/lib/w3schools31.css,201,0,132
1675976189224,244,https://www.w3schools.com/html/default.asp-3,200,OK,Thread Group 1-1,text,true,,70634,516,1,1,https://www.w3schools.com/lib/uic.js?v=1.0.5,187,0,125
1675976189223,174,https://www.w3schools.com/html/default.asp-4,304,Not Modified,Thread Group 1-1,,true,,470,619,1,1,https://cdn.snigelweb.com/adengine/w3schools.com/loader.js,0,0,112
1675976189225,188,https://www.w3schools.com/html/default.asp-5,200,OK,Thread Group 1-1,text,true,,3311,524,1,1,https://www.w3schools.com/lib/common-deps.js?v=1.0.0,188,0,125
1675976189225,200,https://www.w3schools.com/html/default.asp-6,200,OK,Thread Group 1-1,text,true,,9426,525,1,1,https://www.w3schools.com/lib/user-session.js?v=1.0.2,199,0,134
1675976189288,64,https://www.w3schools.com/html/default.asp-7,200,OK,Thread Group 1-1,text,true,,19145,525,1,1,https://www.w3schools.com/lib/my-learning.js?v=1.0.11,64,0,0
1675976189353,70,https://www.w3schools.com/html/default.asp-8,200,OK,Thread Group 1-1,bin,true,,64181,519,1,1,https://www.w3schools.com/images/mylearning.png,68,0,0
1675976189397,240,https://www.w3schools.com/html/default.asp-9,200,OK,Thread Group 1-1,bin,true,,47522,524,1,1,https://www.w3schools.com/images/img_backend_300.png,188,0,123
1675976189425,60,https://www.w3schools.com/html/default.asp-10,200,OK,Thread Group 1-1,bin,true,,9100,524,1,1,https://www.w3schools.com/images/colorpicker2000.png,60,0,0
1675976189426,69,https://www.w3schools.com/html/default.asp-11,200,OK,Thread Group 1-1,bin,true,,59218,521,1,1,https://www.w3schools.com/images/img_subs_300.png,63,0,0
1675976189426,120,https://www.w3schools.com/html/default.asp-12,200,OK,Thread Group 1-1,text,true,,62653,537,1,1,https://www.w3schools.com/lib/w3schools_footer.js?update=20220202,62,0,0
1675976189639,270,https://myl-api.w3schools.com/api/classic/get-set-topic-progress,401,Unauthorized,Thread Group 1-1,text,false,,237,499,1,1,https://myl-api.w3schools.com/api/classic/get-set-topic-progress,270,0,0
1675976193075,268,https://www.w3schools.com/css/default.asp,200,OK,Thread Group 1-1,text,true,,110728,7874,1,1,https://www.w3schools.com/css/default.asp,61,0,0
1675976193075,117,https://www.w3schools.com/css/default.asp-0,200,OK,Thread Group 1-1,text,true,,105323,513,1,1,https://www.w3schools.com/css/default.asp,61,0,0
1675976193222,58,https://www.w3schools.com/css/default.asp-1,304,Not Modified,Thread Group 1-1,,true,,442,594,1,1,https://www.w3schools.com/favicon.ico,0,0,0
1675976193222,57,https://www.w3schools.com/css/default.asp-2,304,Not Modified,Thread Group 1-1,,true,,454,613,1,1,https://www.w3schools.com/lib/w3schools31.css,0,0,0
1675976193224,58,https://www.w3schools.com/css/default.asp-3,304,Not Modified,Thread Group 1-1,,true,,455,612,1,1,https://www.w3schools.com/lib/uic.js?v=1.0.5,0,0,0
1675976193224,55,https://www.w3schools.com/css/default.asp-4,304,Not Modified,Thread Group 1-1,,true,,470,619,1,1,https://cdn.snigelweb.com/adengine/w3schools.com/loader.js,0,0,0
1675976193226,58,https://www.w3schools.com/css/default.asp-5,304,Not Modified,Thread Group 1-1,,true,,454,620,1,1,https://www.w3schools.com/lib/common-deps.js?v=1.0.0,0,0,0
1675976193226,60,https://www.w3schools.com/css/default.asp-6,304,Not Modified,Thread Group 1-1,,true,,454,621,1,1,https://www.w3schools.com/lib/user-session.js?v=1.0.2,0,0,0
1675976193280,58,https://www.w3schools.com/css/default.asp-7,304,Not Modified,Thread Group 1-1,,true,,454,621,1,1,https://www.w3schools.com/lib/my-learning.js?v=1.0.11,0,0,0
1675976193280,58,https://www.w3schools.com/css/default.asp-8,304,Not Modified,Thread Group 1-1,,true,,442,604,1,1,https://www.w3schools.com/images/mylearning.png,0,0,0
1675976193280,60,https://www.w3schools.com/css/default.asp-9,304,Not Modified,Thread Group 1-1,,true,,442,609,1,1,https://www.w3schools.com/images/img_backend_300.png,0,0,0
1675976193282,58,https://www.w3schools.com/css/default.asp-10,304,Not Modified,Thread Group 1-1,,true,,442,609,1,1,https://www.w3schools.com/images/colorpicker2000.png,0,0,0
1675976193285,57,https://www.w3schools.com/css/default.asp-11,304,Not Modified,Thread Group 1-1,,true,,442,606,1,1,https://www.w3schools.com/images/img_subs_300.png,0,0,0
